Resource	Repo	EADID
612	10	us-ppiu-ais199830-12
613	10	us-ppiu-ais199830-13
614	10	us-ppiu-ais199830-14
615	10	us-ppiu-ais199830-15
616	10	us-ppiu-ais199830-16
617	10	us-ppiu-ais199830-17
618	10	us-ppiu-ais199830-18
619	10	us-ppiu-ais199830-19
620	10	us-ppiu-ais199830-20
621	10	us-ppiu-ais199830-21
788	10	us-ppiu-ais199830-22
540	10	us-ppiu-ais199851
903	10	us-ppiu-ais199905
857	10	us-ppiu-ais199909
734	10	us-ppiu-ais199911
543	10	us-ppiu-ais199913
892	10	us-ppiu-ais199915
680	10	us-ppiu-ais199918
544	10	us-ppiu-ais199922
545	10	us-ppiu-ais200002
773	10	us-ppiu-ais200005
549	10	us-ppiu-ais200008
551	10	us-ppiu-ais200012
554	10	us-ppiu-ais200016
557	10	us-ppiu-ais200021
741	10	us-ppiu-ais200101
559	10	us-ppiu-ais200109
560	10	us-ppiu-ais200110
562	10	us-ppiu-ais200201
624	10	us-ppiu-ais200202
563	10	us-ppiu-ais200203
869	10	us-ppiu-ais200204
679	10	us-ppiu-ais200206
770	10	us-ppiu-ais200301
948	10	us-ppiu-ais200302
564	10	us-ppiu-ais200307
1039	10	us-ppiu-ais200308
745	10	us-ppiu-ais200309
565	10	us-ppiu-ais200310
780	10	us-ppiu-ais200311
819	10	us-ppiu-ais200401
568	10	us-ppiu-ais200409
569	10	us-ppiu-ais200410
571	10	us-ppiu-ais200414
759	10	us-ppiu-ais200415
704	10	us-ppiu-ais200417
920	10	us-ppiu-ais200419
572	10	us-ppiu-ais200420
573	10	us-ppiu-ais200421
574	10	us-ppiu-ais200501
575	10	us-ppiu-ais200502
832	10	us-ppiu-ais200503
576	10	us-ppiu-ais200504
577	10	us-ppiu-ais200505
891	10	us-ppiu-ais200601
585	10	us-ppiu-ais200602
587	10	us-ppiu-ais200606
588	10	us-ppiu-ais200607
690	10	us-ppiu-ais200610
752	10	us-ppiu-ais200611
592	10	us-ppiu-ais200618
987	10	us-ppiu-ais200619a
989	10	us-ppiu-ais200619b
736	10	us-ppiu-ais200701
935	10	us-ppiu-ais200702
593	10	us-ppiu-ais200703
677	10	us-ppiu-ais200704
594	10	us-ppiu-ais200705
910	10	us-ppiu-ais200707
1034	10	us-ppiu-ais200707x
834	10	us-ppiu-ais200711
1107	10	us-ppiu-ais200804
692	10	us-ppiu-ais200806
675	10	us-ppiu-ais200902
